uniprot1	genesymbol1	geneid1	uniprot2	genesymbol2	geneid2	species	interaction_type	experiment
Q92731	ESR2	2100	Q96PK6	RBM14	10432	human	0914:association	0029:cosedimentation through density gradient; 0004:affinity chromatography technology
O60381	HBP1	26959	Q15797	SMAD1	4086	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q8IVW6	ARID3B	10620	Q12952	FOXL1	2300	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q3TKT4	Smarca4	20586	Q00899	Yy1	22632	mouse	0915:physical association	0004:affinity chromatography technology
O00221	NFKBIE	4794	Q9UQL6	HDAC5	10014	human	0407:direct interaction	0096:pull down
P26358	DNMT1	1786	Q9UBC3	DNMT3B	1789	human	0915:physical association; 0914:association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0096:pull down; 0364:inferred by curator; 0004:affinity chromatography technology
P62508	ESRRG	2104	O60260	PARK2	5071	human	0915:physical association	0004:affinity chromatography technology
Q8K5C0	Grhl2	252973	Q8BX22	Sall4	99377	mouse	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q15596	NCOA2	10499	P04150	NR3C1	2908	human	0915:physical association; 0914:association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0114:x-ray crystallography; 0004:affinity chromatography technology
P50548	ERF	2077	P55345	PRMT2	3275	human	0915:physical association	0004:affinity chromatography technology
P15806	Tcf3	21423	P70338	Gfi1	14581	mouse	0407:direct interaction	0018:two hybrid
P15066	Jund	16478	P01101	Fos	14281	mouse	0407:direct interaction	0096:pull down
P29037	Tbp	21374	Q5HZG4	Taf3	209361	mouse	0914:association	0006:anti bait coimmunoprecipitation
P03372	ESR1	2099	P27986	PIK3R1	5295	human	0915:physical association	0813:proximity ligation assay; 0004:affinity chromatography technology
P16989	YBX3	8531	Q6FI27	GSK3B	2932	human	0407:direct interaction	0415:enzymatic study
P41212	ETV6	2120	Q96ST3	SIN3A	25942	human	0915:physical association	0004:affinity chromatography technology
P78347	GTF2I	2969	Q9UI95	MAD2L2	10459	human	0915:physical association	0004:affinity chromatography technology
Q92793	CREBBP	1387	P51812	RPS6KA3	6197	human	0915:physical association	0004:affinity chromatography technology
Q9Y608	LRRFIP2	9209	Q92997	DVL3	1857	human	0915:physical association	0007:anti tag coimmunoprecipitation
P04637	TP53	7157	Q06945	SOX4	6659	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q04206	RELA	5970	P84243	H3F3B	3021	human	0915:physical association	0364:inferred by curator
P02340	Trp53	22059	P70338	Gfi1	14581	mouse	0915:physical association	0006:anti bait coimmunoprecipitation
P04637	TP53	7157	O43623	SNAI2	6591	human	0915:physical association	0004:affinity chromatography technology
Q5VUA4	ZNF318	24149	Q86UZ6	ZBTB46	140685	human	0915:physical association	0004:affinity chromatography technology
Q96RJ6	FERD3L	222894	P15884	TCF4	6925	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q8WYK2	JDP2	122953	P17544	ATF7	11016	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q12824	SMARCB1	6598	O95619	YEATS4	8089	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P01106	MYC	4609	Q9NRZ9	HELLS	3070	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0676:tandem affinity purification; 0004:affinity chromatography technology
E9Q7E2	Arid2	77044	Q3TKT4	Smarca4	20586	mouse	0915:physical association	0004:affinity chromatography technology
P19793	RXRA	6256	P12931	SRC	6714	human	0407:direct interaction	0096:pull down
Q15466	NR0B2	8431	Q9Y4K3	TRAF6	7189	human	0915:physical association	0004:affinity chromatography technology
Q12948	FOXC1	2296	Q9NSC2	SALL1	6299	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q96JM7	L3MBTL3	84456	Q06330	RBPJ	3516	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q14919	DRAP1	10589	Q658N3	DR1	1810	human	0915:physical association; 0407:direct interaction	0398:two hybrid pooling approach; 0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
Q03164	KMT2A	4297	Q8WVC0	LEO1	123169	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P26687	Twist1	22160	P48432	Sox2	20674	mouse	0914:association	0007:anti tag coimmunoprecipitation
P23497	SP100	6672	P14921	ETS1	2113	human	0915:physical association	0018:two hybrid; 0006:anti bait coimmunoprecipitation; 0004:affinity chromatography technology
Q15466	NR0B2	8431	Q02086	SP2	6668	human	0915:physical association	0004:affinity chromatography technology
P17096	HMGA1	3159	P17676	CEBPB	1051	human	0915:physical association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0096:pull down; 0004:affinity chromatography technology
O00358	FOXE1	2304	Q9UPW6	SATB2	23314	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P42227	Stat3	20848	Q8JZL0	Zfp467	68910	mouse	0915:physical association	0004:affinity chromatography technology
O95863	SNAI1	6615	Q92793	CREBBP	1387	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0813:proximity ligation assay; 0402:chromatin immunoprecipitation assay; 0004:affinity chromatography technology
Q15788	NCOA1	8648	Q96RN5	MED15	51586	human	0915:physical association	0364:inferred by curator
Q04206	RELA	5970	P06401	PGR	5241	human	0407:direct interaction	0096:pull down
Q05516	ZBTB16	7704	P04150	NR3C1	2908	human	0407:direct interaction	0096:pull down
Q61660	Foxj1	15223	P48379	Rfx2	19725	mouse	0407:direct interaction	0018:two hybrid
O15350	TP73	7161	P62263	RPS14	6208	human	0915:physical association	0004:affinity chromatography technology
Q92993	KAT5	10524	Q15014	MORF4L2	9643	human	0915:physical association	0364:inferred by curator; 0004:affinity chromatography technology
O95644	NFATC1	4772	P63279	UBE2I	7329	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
P28700	Rxra	20181	P23204	Ppara	19013	mouse	0407:direct interaction	0018:two hybrid
Q06330	RBPJ	3516	Q96JK9	MAML3	55534	human	0915:physical association	0364:inferred by curator; 0004:affinity chromatography technology
Q13951	CBFB	865	P15172	MYOD1	4654	human	0915:physical association	0004:affinity chromatography technology
Q6P4R8	NFRKB	4798	Q9Y5K5	UCHL5	51377	human	0915:physical association; 0914:association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0007:anti tag coimmunoprecipitation; 0397:two hybrid array; 1356:validated two hybrid; 0401:biochemical; 0096:pull down; 0114:x-ray crystallography; 0004:affinity chromatography technology
Q969G2	LHX4	89884	O43422	THAP12	5612	human	0915:physical association	0004:affinity chromatography technology
Q8N3X6	LCORL	254251	Q13363	CTBP1	1487	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
P05412	JUN	3725	Q14686	NCOA6	23054	human	0915:physical association; 0407:direct interaction	0096:pull down; 0364:inferred by curator
Q9UJU2	LEF1	51176	P49789	FHIT	2272	human	0915:physical association	0004:affinity chromatography technology
P19793	RXRA	6256	P25490	YY1	7528	human	0915:physical association	0364:inferred by curator
P18847	ATF3	467	O43463	SUV39H1	6839	human	0915:physical association; 0407:direct interaction	0018:two hybrid
P25490	YY1	7528	P19838	NFKB1	4790	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q92793	CREBBP	1387	P61964	WDR5	11091	human	0915:physical association	0364:inferred by curator; 0004:affinity chromatography technology
Q04206	RELA	5970	Q15853	USF2	7392	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach
Q03933	HSF2	3298	O94763	URI1	8725	human	0915:physical association	0729:luminescence based mammalian interactome mapping
Q15233	NONO	4841	Q9NX70	MED29	55588	human	0914:association	0007:anti tag coimmunoprecipitation
P20226	TBP	6908	Q9Y265	RUVBL1	8607	human	0407:direct interaction	0096:pull down
P49716	CEBPD	1052	Q13547	HDAC1	3065	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q80Z64	Nanog	71950	Q8BVE8	Whsc1	107823	mouse	0915:physical association	0004:affinity chromatography technology
P05412	JUN	3725	Q9BVP2	GNL3	26354	human	0914:association	0006:anti bait coimmunoprecipitation
Q02386	ZNF45	7596	V9HWG0	CBX5	23468	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q96JM7	L3MBTL3	84456	P55345	PRMT2	3275	human	0915:physical association	0004:affinity chromatography technology
Q80Z64	Nanog	71950	Q04863	Relb	19698	mouse	0915:physical association	0004:affinity chromatography technology
Q9P0J7	KCMF1	56888	Q5H9I0	TFDP3	51270	human	0915:physical association	0004:affinity chromatography technology
P01106	MYC	4609	Q9H334	FOXP1	27086	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P40424	PBX1	5087	P31273	HOXC8	3224	human	0915:physical association	0004:affinity chromatography technology
Q9NP62	GCM1	8521	Q6IT96	HDAC1	3065	human	0915:physical association	0004:affinity chromatography technology
P28370	SMARCA1	6594	Q12952	FOXL1	2300	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
O15350	TP73	7161	P20248	CCNA2	890	human	0915:physical association; 0407:direct interaction	0096:pull down; 0415:enzymatic study; 0004:affinity chromatography technology
P38398	BRCA1	672	O00267	SUPT5H	6829	human	0915:physical association	0004:affinity chromatography technology
P37238	Pparg	19016	Q04207	Rela	19697	mouse	0915:physical association	0004:affinity chromatography technology
Q9R1E0	Foxo1	56458	P53566	Cebpa	12606	mouse	0915:physical association	0006:anti bait coimmunoprecipitation; 0096:pull down; 0007:anti tag coimmunoprecipitation
P25963	NFKBIA	4792	P12931	SRC	6714	human	0915:physical association	0004:affinity chromatography technology
Q04742	Emx1	13796	Q61169	Gata6	14465	mouse	0407:direct interaction	0018:two hybrid
Q00899	Yy1	22632	Q9DB00	Gon4l	76022	mouse	0915:physical association	0004:affinity chromatography technology
Q13761	RUNX3	864	Q99717	SMAD5	4090	human	0915:physical association	0004:affinity chromatography technology
Q9Y2K1	ZBTB1	22890	P0CG48	UBC	7316	human	0407:direct interaction	0096:pull down
P04637	TP53	7157	Q8N9B5	JMY	133746	human	0915:physical association	0006:anti bait coimmunoprecipitation; 0364:inferred by curator
P98177	FOXO4	4303	Q13526	PIN1	5300	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q12824	SMARCB1	6598	Q99459	CDC5L	988	human	0914:association	0006:anti bait coimmunoprecipitation
P51692	STAT5B	6777	Q9UHV2	SERTAD1	29950	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q15796	SMAD2	4087	Q03112	MECOM	2122	human	0407:direct interaction	0096:pull down
Q9NQL9	DMRT3	58524	Q93062	RBPMS	11030	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q96C00	ZBTB9	221504	A0JLT2	MED19	219541	human	0914:association	0007:anti tag coimmunoprecipitation
Q13485	SMAD4	4089	Q13573	SNW1	22938	human	0407:direct interaction	0018:two hybrid
Q16254	E2F4	1874	Q9Y4A5	TRRAP	8295	human	0915:physical association	0019:coimmunoprecipitation; 0004:affinity chromatography technology
P28033	Cebpb	12608	P53566	Cebpa	12606	mouse	0407:direct interaction	0096:pull down
Q02577	NHLH2	4808	Q96EB6	SIRT1	23411	human	0915:physical association	0007:anti tag coimmunoprecipitation
P25963	NFKBIA	4792	Q58WW2	DCAF6	55827	human	0915:physical association	0004:affinity chromatography technology
P23246	SFPQ	6421	P00533	EGFR	1956	human	0914:association	0676:tandem affinity purification
Q60795	Nfe2l2	18024	P01101	Fos	14281	mouse	0915:physical association	0004:affinity chromatography technology
P14653	HOXB1	3211	Q96I87	PKNOX1	5316	human	0915:physical association	0364:inferred by curator
P18847	ATF3	467	Q969S8	HDAC10	83933	human	0915:physical association	0004:affinity chromatography technology
Q86T24	ZBTB33	10009	Q08050	FOXM1	2305	human	0915:physical association	0004:affinity chromatography technology
P51531	SMARCA2	6595	O94906	PRPF6	24148	human	0915:physical association	0006:anti bait coimmunoprecipitation; 0004:affinity chromatography technology
Q8TAQ2	SMARCC2	6601	P05412	JUN	3725	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0676:tandem affinity purification; 0004:affinity chromatography technology
O15105	SMAD7	4092	Q6IT96	HDAC1	3065	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P41133	Id3	15903	P41139	Id4	15904	mouse	0407:direct interaction	0018:two hybrid; 0096:pull down
Q658N3	DR1	1810	Q13952	NFYC	4802	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach
O14503	BHLHE40	8553	Q08117	AES	166	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q16666	IFI16	3428	O60716	CTNND1	1500	human	0915:physical association	0004:affinity chromatography technology
Q658N3	DR1	1810	P17980	PSMC3	5702	human	0915:physical association	0004:affinity chromatography technology
Q8NBB4	ZSCAN1	284312	Q6NSZ9	ZSCAN25	221785	human	0915:physical association	0004:affinity chromatography technology
P61978	HNRNPK	3190	P09429	HMGB1	3146	human	0407:direct interaction	0096:pull down
P02340	Trp53	22059	Q9WV60	Gsk3b	56637	mouse	0915:physical association	0004:affinity chromatography technology
P51531	SMARCA2	6595	O14497	ARID1A	8289	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0401:biochemical; 0096:pull down; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q9Y618	NCOR2	9612	Q5T6U8	HMGA1	3159	human	0915:physical association	0004:affinity chromatography technology
P19838	NFKB1	4790	P62826	RAN	5901	human	0914:association	0676:tandem affinity purification
Q13330	MTA1	9112	Q8WWY6	MBD3L1	85509	human	0915:physical association	0004:affinity chromatography technology
P67809	YBX1	4904	Q6FI27	GSK3B	2932	human	0407:direct interaction	0415:enzymatic study
Q05516	ZBTB16	7704	P04637	TP53	7157	human	0915:physical association	0004:affinity chromatography technology
Q8NF99	ZNF397	84307	P57086	SCAND1	51282	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
Q8TAQ2	SMARCC2	6601	Q99814	EPAS1	2034	human	0915:physical association	0004:affinity chromatography technology
Q68DK2	ZFYVE26	23503	O75478	TADA2A	6871	human	0407:direct interaction	0018:two hybrid
Q08050	FOXM1	2305	Q5TB30	DEPDC1	55635	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P10826	RARB	5915	P51946	CCNH	902	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0397:two hybrid array
Q15788	NCOA1	8648	Q15637	SF1	7536	human	0915:physical association	0004:affinity chromatography technology
Q04743	EMX2	2018	O00470	MEIS1	4211	human	0407:direct interaction	0018:two hybrid
P25963	NFKBIA	4792	P27986	PIK3R1	5295	human	0914:association; 0407:direct interaction	0405:competition binding; 0096:pull down; 0019:coimmunoprecipitation
Q9BYU1	PBX4	80714	Q96I87	PKNOX1	5316	human	0915:physical association	0004:affinity chromatography technology
Q12952	FOXL1	2300	P46734	MAP2K3	5606	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P13864	Dnmt1	13433	Q61188	Ezh2	14056	mouse	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0004:affinity chromatography technology
Q92793	CREBBP	1387	Q9H2X6	HIPK2	28996	human	0915:physical association	0004:affinity chromatography technology
P35711	SOX5	6660	P25791	LMO2	4005	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
P10275	AR	367	Q08117	AES	166	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
Q04206	RELA	5970	Q86T24	ZBTB33	10009	human	0915:physical association	0004:affinity chromatography technology
Q01167	FOXK2	3607	Q5PSV4	BRMS1L	84312	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q9NS56	TOPORS	10210	Q6FHQ0	RBBP7	5931	human	0915:physical association	0004:affinity chromatography technology
P84022	SMAD3	4088	P61978	HNRNPK	3190	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0397:two hybrid array
Q01094	E2F1	1869	Q9Y4A5	TRRAP	8295	human	0915:physical association	0019:coimmunoprecipitation; 0004:affinity chromatography technology
P61371	ISL1	3670	P46108	CRK	1398	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0397:two hybrid array
P46100	ATRX	546	Q08945	SSRP1	6749	human	0915:physical association	0004:affinity chromatography technology
P11161	EGR2	1959	Q15742	NAB2	4665	human	0407:direct interaction	0415:enzymatic study
Q01101	INSM1	3642	P01106	MYC	4609	human	0914:association	0676:tandem affinity purification
Q9Y618	NCOR2	9612	Q01094	E2F1	1869	human	0915:physical association; 0407:direct interaction	0096:pull down; 0034:display technology; 0676:tandem affinity purification
Q15306	IRF4	3662	P17947	SPI1	6688	human	0914:association; 0407:direct interaction	0096:pull down; 0114:x-ray crystallography
P42227	Stat3	20848	O35387	Hax1	23897	mouse	0915:physical association	0018:two hybrid
Q80Z64	Nanog	71950	Q7TSZ8	Nacc1	66830	mouse	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q924K8	Mta3	116871	Q3UNW5	Tfcp2l1	81879	mouse	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q9H9S0	NANOG	79923	Q9BQY4	RHOXF2	84528	human	0407:direct interaction	0018:two hybrid
Q99684	GFI1	2672	Q9Y6X2	PIAS3	10401	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0006:anti bait coimmunoprecipitation; 0096:pull down; 0004:affinity chromatography technology
O15156	ZBTB7B	51043	Q9BQG0	MYBBP1A	10514	human	0915:physical association	0004:affinity chromatography technology
P40763	STAT3	6774	Q9UPT9	USP22	23326	human	0915:physical association	0004:affinity chromatography technology
Q13485	SMAD4	4089	P31269	HOXA9	3205	human	0915:physical association	0004:affinity chromatography technology
P61978	HNRNPK	3190	A0A1B0GUU1	ZNF385C	201181	human	0407:direct interaction	0018:two hybrid
Q16666	IFI16	3428	P45973	CBX5	23468	human	0915:physical association	0004:affinity chromatography technology
O15226	NKRF	55922	Q9H0D6	XRN2	22803	human	0915:physical association	0004:affinity chromatography technology
P55318	FOXA3	3171	Q9HBU1	BARX1	56033	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q8BUN5	Smad3	17127	P46938	Yap1	22601	mouse	0915:physical association	0004:affinity chromatography technology
P25490	YY1	7528	Q15291	RBBP5	5929	human	0915:physical association	0364:inferred by curator
P25963	NFKBIA	4792	B2RDW1	RPS27A	6233	human	0915:physical association	0364:inferred by curator
Q99853	FOXB1	27023	Q04724	TLE1	7088	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P17096	HMGA1	3159	O00358	FOXE1	2304	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q99853	FOXB1	27023	Q04726	TLE3	7090	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P18847	ATF3	467	Q5T3J3	LRIF1	55791	human	0407:direct interaction	0018:two hybrid
Q92945	KHSRP	8570	Q13617	CUL2	8453	human	0915:physical association	0004:affinity chromatography technology
Q99853	FOXB1	27023	O00255	MEN1	4221	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P12755	SKI	6497	Q3MIH3	UBA52	7311	human	0915:physical association	0364:inferred by curator
Q99459	CDC5L	988	Q92769	HDAC2	3066	human	0914:association	0006:anti bait coimmunoprecipitation
Q8WXI9	GATAD2B	57459	Q9NP66	HMG20A	10363	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q12824	SMARCB1	6598	P49336	CDK8	1024	human	0915:physical association	0004:affinity chromatography technology
O75478	TADA2A	6871	O75586	MED6	10001	human	0915:physical association	0004:affinity chromatography technology
P67809	YBX1	4904	O14980	XPO1	7514	human	0915:physical association	0004:affinity chromatography technology
Q9JKD8	Tbx21	57765	Q3TKT4	Smarca4	20586	mouse	0915:physical association	0004:affinity chromatography technology
P48432	Sox2	20674	P97496	Smarcc1	20588	mouse	0914:association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation
Q9ULX9	MAFF	23764	Q16236	NFE2L2	4780	human	0915:physical association; 0407:direct interaction	0055:fluorescent resonance energy transfer; 0096:pull down; 0004:affinity chromatography technology
Q80Z64	Nanog	71950	Q91X20	Ash2l	23808	mouse	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q9BTC8	MTA3	57504	P01137	TGFB1	7040	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0397:two hybrid array
O75398	DEAF1	10522	Q9H1I8	ASCC2	84164	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach
Q16665	HIF1A	3091	P38398	BRCA1	672	human	0915:physical association	0004:affinity chromatography technology
P17861	XBP1	7494	Q15650	TRIP4	9325	human	0407:direct interaction	0018:two hybrid
P01106	MYC	4609	Q6P1X5	TAF2	6873	human	0914:association	0676:tandem affinity purification
Q9HAZ2	PRDM16	63976	Q15796	SMAD2	4087	human	0915:physical association	0004:affinity chromatography technology
Q92793	CREBBP	1387	Q6FG41	FOS	2353	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q9H9S0	NANOG	79923	Q01860	POU5F1	5460	human	0915:physical association	0364:inferred by curator
P31268	HOXA7	3204	P17275	JUNB	3726	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0397:two hybrid array
Q6FG41	FOS	2353	P20823	HNF1A	6927	human	0915:physical association	0004:affinity chromatography technology
Q9UGL1	KDM5B	10765	P50222	MEOX2	4223	human	0915:physical association	0004:affinity chromatography technology
O35160	Pitx3	18742	P43267	Sox15	20670	mouse	0407:direct interaction	0018:two hybrid
P48431	SOX2	6657	O75376	NCOR1	9611	human	0915:physical association	0004:affinity chromatography technology
Q01094	E2F1	1869	Q99612	KLF6	1316	human	0915:physical association	0004:affinity chromatography technology
P35638	DDIT3	1649	Q9ULX9	MAFF	23764	human	0407:direct interaction	0055:fluorescent resonance energy transfer
P01106	MYC	4609	P68400	CSNK2A1	1457	human	0407:direct interaction	0415:enzymatic study
Q99459	CDC5L	988	Q9H0D6	XRN2	22803	human	0914:association	0006:anti bait coimmunoprecipitation
P23246	SFPQ	6421	P68400	CSNK2A1	1457	human	0407:direct interaction	0415:enzymatic study
P61978	HNRNPK	3190	P40337	VHL	7428	human	0915:physical association	0004:affinity chromatography technology
Q92793	CREBBP	1387	Q96HR3	MED30	90390	human	0915:physical association	0364:inferred by curator
Q01664	TFAP4	7023	O95785	WIZ	58525	human	0915:physical association	0004:affinity chromatography technology
O14867	BACH1	571	P35638	DDIT3	1649	human	0407:direct interaction	0055:fluorescent resonance energy transfer; 0081:peptide array
Q13485	SMAD4	4089	P0CG47	UBB	7314	human	0915:physical association	0364:inferred by curator
Q13485	SMAD4	4089	P0CG48	UBC	7316	human	0915:physical association	0007:anti tag coimmunoprecipitation; 0364:inferred by curator
Q15714	TSC22D1	8848	P04637	TP53	7157	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
Q04886	Sox8	20681	P70396	Dlx5	13395	mouse	0915:physical association	0004:affinity chromatography technology
O95251	KAT7	11143	Q6IE81	JADE1	79960	human	0915:physical association; 0407:direct interaction	0096:pull down; 0364:inferred by curator; 0004:affinity chromatography technology
Q9NQ87	HEYL	26508	Q96KM6	ZNF512B	57473	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q5VTD9	GFI1B	8328	Q15654	TRIP6	7205	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q9Y5Q3	MAFB	9935	Q14653	IRF3	3661	human	0915:physical association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q15475	SIX1	6495	P58012	FOXL2	668	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q00899	Yy1	22632	Q8VDK3	Elf5	13711	mouse	0915:physical association	0004:affinity chromatography technology
O95600	KLF8	11279	P09874	PARP1	142	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q8N344	MIER2	54531	P53350	PLK1	5347	human	0915:physical association	0004:affinity chromatography technology
Q9P1Z0	ZBTB4	57659	Q13105	ZBTB17	7709	human	0915:physical association	0004:affinity chromatography technology
P37231	PPARG	5468	O43474	KLF4	9314	human	0915:physical association	0004:affinity chromatography technology
P23772	Gata3	14462	P17433	Spi1	20375	mouse	0914:association	0006:anti bait coimmunoprecipitation
Q92993	KAT5	10524	P41212	ETV6	2120	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
Q8N988	ZNF557	79230	O15198	SMAD9	4093	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q02363	ID2	3398	P24941	CDK2	1017	human	0407:direct interaction	0415:enzymatic study
P05412	JUN	3725	Q16539	MAPK14	1432	human	0407:direct interaction	0415:enzymatic study
Q13950	RUNX2	860	P05412	JUN	3725	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
Q9NQB0	TCF7L2	6934	Q9UI95	MAD2L2	10459	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
Q01196	RUNX1	861	O43463	SUV39H1	6839	human	0915:physical association; 0914:association; 0407:direct interaction	0401:biochemical; 0096:pull down; 0004:affinity chromatography technology
P08047	SP1	6667	P28749	RBL1	5933	human	0915:physical association	0004:affinity chromatography technology
Q16670	ZSCAN26	7741	P10244	MYBL2	4605	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P02340	Trp53	22059	Q80Z37	Topors	106021	mouse	0915:physical association	0004:affinity chromatography technology
Q86VP1	TAX1BP1	8887	Q15025	TNIP1	10318	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid; 0004:affinity chromatography technology
Q9UKY1	ZHX1	11244	P54274	TERF1	7013	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach
Q9UBL3	ASH2L	9070	Q8N163	CCAR2	57805	human	0915:physical association	0004:affinity chromatography technology
P55316	FOXG1	2290	Q04724	TLE1	7088	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q91ZW3	Smarca5	93762	B9EI85	Hist2h3c1	15077	mouse	0914:association	0096:pull down
Q61539	Esrrb	26380	Q811S7	Ubp1	22221	mouse	0915:physical association	0004:affinity chromatography technology
Q9HCC6	HES4	57801	Q5T200	ZC3H13	23091	human	0915:physical association	0034:display technology
P29375	KDM5A	5927	Q8WUU5	GATAD1	57798	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q99941	ATF6B	1388	Q13492	PICALM	8301	human	0915:physical association	0004:affinity chromatography technology
Q14209	E2F2	1870	Q14188	TFDP2	7029	human	0915:physical association	0004:affinity chromatography technology
